AID,package name,class token,class name,method token,method name,method signature
A0000000620101,javacard.framework,10,APDU,7,setOutgoing,()
A0000000620101,javacard.framework,10,APDU,8,setOutgoingAndSend,(short;short)
A0000000620101,javacard.framework,10,APDU,9,setOutgoingLength,(short)
A0000000620101,javacard.framework,10,APDU,10,setOutgoingNoChaining,()
A0000000620101,javacard.framework,10,APDU,11,getCurrentState,()
A0000000620101,javacard.framework,10,APDU,12,isCommandChainingCLA,()
A0000000620101,javacard.framework,10,APDU,13,isSecureMessagingCLA,()
A0000000620101,javacard.framework,10,APDU,14,isISOInterindustryCLA,()
A0000000620101,javacard.framework,10,APDU,15,getIncomingLength,()
A0000000620101,javacard.framework,10,APDU,16,getOffsetCdata,()
A0000000620101,javacard.framework,10,APDU,17,isValidCLA,()
A0000000620101,javacard.framework,4,CardException,1,throwIt,(short)
A0000000620101,javacard.framework,4,CardException,1,getReason,()
A0000000620101,javacard.framework,4,CardException,2,setReason,(short)
A0000000620101,javacard.framework,11,PINException,1,throwIt,(short)
A0000000620101,javacard.framework,11,PINException,1,getReason,()
A0000000620101,javacard.framework,11,PINException,2,setReason,(short)
A0000000620101,javacard.framework,23,Resources,0,getResources,()
A0000000620101,javacard.framework,23,Resources,1,getSize,(short)
A0000000620101,javacard.framework,23,Resources,2,getView,(short)
A0000000620101,javacard.framework,23,Resources,3,getView,(short;short;short)
A0000000620101,javacard.framework,22,SensitiveArrays,0,assertIntegrity,(java.lang.Object)
A0000000620101,javacard.framework,22,SensitiveArrays,1,isIntegritySensitive,(java.lang.Object)
A0000000620101,javacard.framework,22,SensitiveArrays,2,isIntegritySensitiveArraysSupported,()
A0000000620101,javacard.framework,22,SensitiveArrays,3,makeIntegritySensitiveArray,(byte;byte;short)
A0000000620101,javacard.framework,22,SensitiveArrays,4,clearArray,(java.lang.Object)
A0000000620101,javacard.framework,7,ISOException,1,throwIt,(short)
A0000000620101,javacard.framework,7,ISOException,1,getReason,()
A0000000620101,javacard.framework,7,ISOException,2,setReason,(short)
A0000000620101,javacard.framework,13,SystemException,1,throwIt,(short)
A0000000620101,javacard.framework,13,SystemException,1,getReason,()
A0000000620101,javacard.framework,13,SystemException,2,setReason,(short)
A0000000620101,javacard.framework,14,TransactionException,1,throwIt,(short)
A0000000620101,javacard.framework,14,TransactionException,1,getReason,()
A0000000620101,javacard.framework,14,TransactionException,2,setReason,(short)
A0000000620101,javacard.framework,15,UserException,2,throwIt,(short)
A0000000620101,javacard.framework,15,UserException,1,getReason,()
A0000000620101,javacard.framework,15,UserException,2,setReason,(short)
A0000000620101,javacard.framework,16,Util,1,arrayCopy,(byte[];short;byte[];short;short)
A0000000620101,javacard.framework,16,Util,2,arrayCopyNonAtomic,(byte[];short;byte[];short;short)
A0000000620101,javacard.framework,16,Util,7,arrayFill,(byte[];short;short;byte)
A0000000620101,javacard.framework,16,Util,3,arrayFillNonAtomic,(byte[];short;short;byte)
A0000000620101,javacard.framework,16,Util,0,arrayCompare,(byte[];short;byte[];short;short)
A0000000620101,javacard.framework,16,Util,5,makeShort,(byte;byte)
A0000000620101,javacard.framework,16,Util,4,getShort,(byte[];short)
A0000000620101,javacard.framework,16,Util,6,setShort,(byte[];short;short)
A000000062010101,javacard.framework.service,0,Service,0,processDataIn,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,0,Service,1,processCommand,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,0,Service,2,processDataOut,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,1,SecurityService,0,processDataIn,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,1,SecurityService,1,processCommand,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,1,SecurityService,2,processDataOut,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,1,SecurityService,3,isAuthenticated,(short)
A000000062010101,javacard.framework.service,1,SecurityService,4,isChannelSecure,(byte)
A000000062010101,javacard.framework.service,1,SecurityService,5,isCommandSecure,(byte)
A000000062010101,javacard.framework.service,2,RemoteService,0,processDataIn,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,2,RemoteService,1,processCommand,(javacard.framework.APDU)
