AID,package name,class token,class name,method type,method token,method name,method signature
A0000000620101,javacard.framework,22,SensitiveArrays,static,3,makeIntegritySensitiveArray,java.lang.Object(byte;byte;short)
A0000000620101,javacard.framework,22,SensitiveArrays,static,4,clearArray,short(java.lang.Object)
A0000000620101,javacard.framework,7,ISOException,static,1,throwIt,void(short)
A0000000620101,javacard.framework,7,ISOException,virtual,1,getReason,short()
A0000000620101,javacard.framework,7,ISOException,virtual,2,setReason,void(short)
A0000000620101,javacard.framework,13,SystemException,static,1,throwIt,void(short)
A0000000620101,javacard.framework,13,SystemException,virtual,1,getReason,short()
A0000000620101,javacard.framework,13,SystemException,virtual,2,setReason,void(short)
A0000000620101,javacard.framework,14,TransactionException,static,1,throwIt,void(short)
A0000000620101,javacard.framework,14,TransactionException,virtual,1,getReason,short()
A0000000620101,javacard.framework,14,TransactionException,virtual,2,setReason,void(short)
A0000000620101,javacard.framework,15,UserException,static,2,throwIt,void(short)
A0000000620101,javacard.framework,15,UserException,virtual,1,getReason,short()
A0000000620101,javacard.framework,15,UserException,virtual,2,setReason,void(short)
A0000000620101,javacard.framework,16,Util,static,1,arrayCopy,short(byte[];short;byte[];short;short)
A0000000620101,javacard.framework,16,Util,static,2,arrayCopyNonAtomic,short(byte[];short;byte[];short;short)
A0000000620101,javacard.framework,16,Util,static,7,arrayFill,short(byte[];short;short;byte)
A0000000620101,javacard.framework,16,Util,static,3,arrayFillNonAtomic,short(byte[];short;short;byte)
A0000000620101,javacard.framework,16,Util,static,0,arrayCompare,byte(byte[];short;byte[];short;short)
A0000000620101,javacard.framework,16,Util,static,5,makeShort,short(byte;byte)
A0000000620101,javacard.framework,16,Util,static,4,getShort,short(byte[];short)
A0000000620101,javacard.framework,16,Util,static,6,setShort,short(byte[];short;short)
A000000062010101,javacard.framework.service,0,Service,virtual,0,processDataIn,boolean(javacard.framework.APDU)
A000000062010101,javacard.framework.service,0,Service,virtual,1,processCommand,boolean(javacard.framework.APDU)
A000000062010101,javacard.framework.service,0,Service,virtual,2,processDataOut,boolean(javacard.framework.APDU)
A000000062010101,javacard.framework.service,1,SecurityService,virtual,0,processDataIn,boolean(javacard.framework.APDU)
A000000062010101,javacard.framework.service,1,SecurityService,virtual,1,processCommand,boolean(javacard.framework.APDU)
A000000062010101,javacard.framework.service,1,SecurityService,virtual,2,processDataOut,boolean(javacard.framework.APDU)
A000000062010101,javacard.framework.service,1,SecurityService,virtual,3,isAuthenticated,boolean(short)
A000000062010101,javacard.framework.service,1,SecurityService,virtual,4,isChannelSecure,boolean(byte)
A000000062010101,javacard.framework.service,1,SecurityService,virtual,5,isCommandSecure,boolean(byte)
A000000062010101,javacard.framework.service,2,RemoteService,virtual,0,processDataIn,boolean(javacard.framework.APDU)
A000000062010101,javacard.framework.service,2,RemoteService,virtual,1,processCommand,boolean(javacard.framework.APDU)
A000000062010101,javacard.framework.service,2,RemoteService,virtual,2,processDataOut,boolean(javacard.framework.APDU)
A000000062010101,javacard.framework.service,3,BasicService,virtual,1,processDataIn,boolean(javacard.framework.APDU)
A000000062010101,javacard.framework.service,3,BasicService,virtual,2,processCommand,boolean(javacard.framework.APDU)
A000000062010101,javacard.framework.service,3,BasicService,virtual,3,processDataOut,boolean(javacard.framework.APDU)
A000000062010101,javacard.framework.service,3,BasicService,virtual,4,receiveInData,short(javacard.framework.APDU)
